Position,#,Name,Height,University,Team
PG,2,"Mosqueda, Manuel",1.8,National-U,Muntinlupa
PG,7,"Ylagan, John Genmar",1.8,UPHSD,Muntinlupa
SG,13,"Ortuoste, Jon Kervin",1.75,San Sebastian,Muntinlupa
SF,14,"Saitanan, Jessie",1.93,Mapúa,Muntinlupa
SF,16,"Dixon, Eduard",1.93,St. Benilde,Muntinlupa
SF,17,"Destacamento, King",1.93,San Beda Alabang,Muntinlupa
PF,21,"Peralta, Rey",1.88,UPHSD,Muntinlupa
SG,32,"Bagatsing, Hyram",1.85,De La Salle,Muntinlupa
PF,55,"Salaveria, Juan (HG)",1.91,UPHSD,Muntinlupa
PG,0,"Vidal, John Arthur",1.75,UE,Mandaluyong
SF,2,"Lim, Xian",1.88,UE,Mandaluyong
SF,9,"Rivero, Prince",1.91,De La Salle,Mandaluyong
PF,11,"Franco, Bernzon (EP)",1.93,Philippine Christian,Mandaluyong
PF,15,"Javillonar, Jeff (EP)",1.91,National-U,Mandaluyong
SG,23,"Nimes, Josan (EP)",1.91,Mapúa,Mandaluyong
PG,27,"Torres, Thomas ",1.75,De La Salle,Mandaluyong
C,16,"Dixon, Eduard",1.93,St. Benilde,Muntinlupa
C,9,"Rivero, Prince",1.91,De La Salle,Mandaluyong
C,11,"Franco, Bernzon (EP)",1.93,Philippine Christian,Mandaluyong
